Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"FID1","Fiducial","Fiducial_1mm_Mask2mm",15.2400,43.3264,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",15.2908,7.3152,180.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",22.4536,19.8120,-90.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",22.4536,31.0388,-90.0000,bottom
"J3","HEADER_2x05_PARALLEL","Straight_2x05",15.2400,25.4000,0.0000,top
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",8.0264,31.0388,90.0000,bottom
"J5","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",8.0264,19.8120,90.0000,bottom
"M1","HOLE M3","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","HOLE M3","MountingHole_3mm",20.3200,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",20.3200,10.1600,0.0000,top
